Word,pos,readability,lemma,diac
فِي,prep,1,فِي_1,فِي
مِن,prep,1,مِن_1,مِن
أَنَّ,conj_sub,2,أَنَّ_1,أَنَّ
عَلَى,prep,1,عَلَى_1,عَلَى
إِلَى,prep,1,إِلَى_1,إِلَى
كان,verb,1,كان-ُ_1,كانَ
قال,verb,1,قال-ُ_1,قالَ
هٰذا,pron_dem,1,هٰذا_1,هٰذا
الَّذِي,pron_rel,3,الَّذِي_1,الَّذِي
لا,part_neg,1,لا_1,لا
أَنْ,conj_sub,2,أَنَّ_1,أَنَّ
ما,pron_rel,3,ما_1,ما
ذٰلِكَ,pron_dem,2,ذٰلِكَ_1,ذٰلِكَ
لِ,prep,1,لِ_1,لِ
عَن,prep,1,عَن_1,عَن
قَدْ,part_verb,3,قَدْ_1,قَدْ
لَمْ,part_neg,2,لَمْ_1,لَمْ
مَع,noun,1,مَع_1,مَعَ
هُوَ,pron,1,هُوَ_1,هُوَ
بِ,prep,1,بِ_1,بِ
كُلّ,noun_quant,1,كُلّ_1,كُلِّ
إِنَّ,verb_pseudo,3,إِنْ_1,إِنْ
بَيْنَ,noun,1,بَيْنَ_1,بَيْنَ
بَعْد,noun,1,بَعْد_1,بَعْدَ
رَأَى,verb,1,رَأْي_1,رَأْيِ
يَوْم,noun,1,يَوْم_1,يَوْمَ
أَوْ,conj,1,أَوْ_1,أَوْ
يا,part_voc,1,يا_1,يا
ثُمَّ,conj,2,ثُمَّ_1,ثُمَّ
لٰكِنَّ,verb_pseudo,2,لٰكِنَّ_1,لٰكِنَّ
نَفْس,noun,1,نَفْس_1,نَفْسَ
رَئِيس,noun,1,رَئِيس_1,رَئِيسَ
إِذا,conj_sub,1,إِذا_1,إِذا
هِيَ,pron,1,هِيَ_1,هِيَ
أَمْر,noun,2,أَمْر_1,أَمْرٌ
أَوَّل,adj_num,1,أَوَّل_2,أَوَّلٌ
غَيْر,noun,2,غَيْر_1,غَيْرِ
رَجُل,noun,1,رَجُل_1,رَجُلٍ
عِنْد,noun,1,عِنْد_1,عِنْدَ
عام,noun,2,عام_1,عامِ
دَوْلَة,noun,1,دَوْلَة_1,دَوْلَةٍ
شَيْء,noun,1,شَيْء_1,شَيْءٍ
يَد,noun,1,يَد_1,يَدِ
عَمَل,noun,1,عَمَل_1,عَمَلٍ
إِلّا,part_restrict,1,إِلّا_2,إِلّا
إِنْ,conj_sub,2,إِنْ_1,إِنْ
